row_index,cluster,x,y
7,7,-29.593262,18.107145
14,3,-6.4719014,6.2166524
17,7,-9.617727,7.680857
22,7,-21.670572,0.7851809
23,3,-3.9024808,7.357886
24,5,-28.88618,-2.6959784
32,5,-31.803764,-8.294955
43,7,-18.021532,-6.5185237
46,5,40.298008,-10.79461
57,5,-29.982141,7.9770126
62,7,-11.827043,24.433239
66,3,-23.644728,36.73582
68,7,-33.87446,13.829232
69,7,-17.04815,-2.0643125
73,7,-21.994833,-7.827591
74,5,-18.654526,-22.983353
82,7,-36.4323,18.989851
83,3,-2.045352,4.907934
88,7,-31.034544,9.601996
101,7,-26.141243,9.500452
104,7,-19.403238,34.39316
108,5,-39.57441,-3.8459065
109,7,-23.486967,21.86898
117,7,-21.289248,21.581745
120,7,-16.201864,4.5982256
122,5,-28.960997,-3.7463462
127,7,-17.48068,3.954695
128,7,-13.604285,3.5642946
134,7,-17.49922,-3.9692016
145,5,-47.354557,-2.1030312
156,7,-27.145685,1.9211649
161,5,-34.81639,4.050877
179,7,-16.457071,5.907308
184,5,-23.176178,29.920858
188,5,-42.406403,3.6998632
208,7,-25.720232,-4.611491
218,7,-11.871549,24.049866
220,7,-7.9131494,-3.0048614
222,7,-14.224661,-3.1159358
227,7,-23.183119,5.463323
239,7,12.156031,-42.094193
260,5,-30.926523,2.816093
262,5,-33.249928,-6.600737
275,7,-20.518307,-3.3180535
276,7,-18.594858,-3.1570935
278,7,-0.72727716,9.630033
281,7,-11.761677,-3.086146
290,5,-35.62119,-8.98448
299,5,-36.702602,-0.113273814
309,7,-18.545212,0.66286343
320,5,-27.922932,-16.648855
323,7,-19.443567,9.200669
327,5,-41.68479,-11.274582
328,5,-24.81496,-14.052247
331,7,12.66007,-42.837917
338,7,-9.217462,10.812799
341,5,-29.98029,-8.787655
347,7,-19.732674,3.5734985
356,7,-7.143373,1.8311352
360,7,-9.239968,4.2160916
361,7,-12.070161,-9.709657
362,7,-22.304064,19.407824
363,7,-11.714379,19.290993
365,7,-11.683115,19.27538
367,5,-40.73422,5.512526
369,7,-18.971664,1.7530465
388,7,-5.516132,13.419008
392,7,-28.81335,23.321476
413,3,-23.611336,37.276665
420,7,-21.440313,-3.1579874
425,7,-13.281913,0.1415645
426,5,-41.682632,-2.6596768
428,5,-30.86066,-2.960014
432,7,-22.063444,-9.351908
437,5,-27.793535,-9.157368
439,5,-39.618347,-3.2319286
442,5,-28.336195,14.3095255
455,7,-17.109703,21.234217
464,7,-36.724026,17.688915
478,5,-25.58516,-7.8188047
479,7,12.223024,-42.158497
491,5,-42.253506,5.3070245
495,5,-24.344627,7.322374
501,5,-38.736916,-0.28903243
506,7,-1.4910179,22.379614
518,3,-8.27972,-3.96251
524,7,-14.542525,22.838545
535,5,-35.20436,-2.2462275
536,5,-35.45755,-1.9556696
537,5,-29.19813,15.01383
542,5,-28.318285,-7.039335
543,5,-39.720016,-6.3565125
545,5,-32.834835,-11.495128
547,7,-12.467997,4.1353683
551,5,12.399443,-43.561623
552,7,-27.56823,-4.9452662
565,7,-13.744423,-4.7207623
589,7,-27.28252,5.131097
595,7,-16.919445,17.5027
597,5,-34.113476,8.36962
599,5,-43.119053,-10.7994
600,5,-38.58963,3.249749
601,7,-20.783295,1.5426799
602,7,-16.337326,3.8921812
607,7,-20.618958,15.454384
610,7,-10.506829,-4.311928
613,5,-27.665361,3.7548792
617,7,-15.9354105,-2.9357321
627,5,-38.790974,5.4718122
643,7,-22.240334,6.753949
645,7,-22.301348,6.8154488
648,7,-19.863434,1.5728447
658,7,-29.652885,0.57414037
659,7,-21.496096,6.1888976
666,3,-23.689459,37.25825
668,7,-24.796537,17.198326
674,5,-43.77961,3.722459
676,5,-44.370377,6.605291
689,7,-11.985799,2.0101268
690,7,-9.26953,0.71879613
694,7,-11.780047,2.1991835
702,7,-28.293926,9.116555
706,7,-7.3904037,-0.23542182
707,3,-6.4012637,1.9569056
708,7,-27.485004,0.32690126
709,7,-23.526636,0.8880494
721,7,-15.63401,6.281272
724,7,-9.52765,3.03123
727,7,-9.488107,2.7046874
729,7,-26.236292,17.676626
745,3,-12.675702,-10.855038
749,5,-34.213432,-4.48556
751,7,-28.349493,8.218749
762,5,-45.523544,-10.377997
763,3,-22.981627,37.942318
771,7,-17.194633,14.268525
782,7,-19.456947,14.957038
787,7,-14.730331,10.551041
790,5,-32.81363,-11.784323
795,7,-19.55328,-1.0036671
805,7,-19.968058,24.593725
810,7,-15.531024,1.5711263
814,5,-32.518845,-12.433554
815,5,-24.977732,-1.4023067
827,7,-11.149654,-0.03620854
829,5,-24.18223,-8.698285
835,7,-15.122021,15.6202345
836,7,-29.839262,5.8609443
838,7,-15.099543,4.225828
842,5,16.92952,-24.129965
845,5,-25.674974,-0.7326705
861,7,-25.499086,13.937756
868,7,-29.089901,5.5732417
871,5,-41.038937,3.4414966
872,5,-34.158813,1.6543989
874,5,-31.815506,-18.50782
876,5,-31.815506,-18.50782
