row_index,cluster,x,y
0,4,8.744295,3.8016002
3,4,11.34665,4.8584337
5,4,6.7408814,2.2963743
6,4,9.659251,5.3972545
7,4,10.163312,5.047436
8,4,8.349042,4.3916245
9,4,8.971283,4.499969
10,3,11.424673,4.734697
11,3,11.27018,3.6818295
14,3,12.171863,3.126758
16,4,9.02507,3.201101
17,1,9.034186,-2.6462853
22,3,10.655355,3.2382154
23,4,8.643331,1.5320226
24,4,9.277091,4.582037
28,3,9.874519,1.2519203
32,4,8.929341,3.8145764
34,4,10.225474,3.5091703
35,3,11.800304,4.561765
37,3,9.788097,3.7265756
39,3,9.880906,3.7364028
40,3,9.840099,3.7249422
41,4,9.274754,1.5804461
42,4,8.606839,4.6324167
43,3,11.691187,2.7376995
45,4,8.964397,4.7723346
46,4,9.338609,3.7095141
49,4,9.421293,3.0335147
53,3,12.192972,4.53133
55,3,10.52402,1.9431546
56,3,12.514826,4.329656
57,2,8.646499,0.9547144
60,4,8.731224,4.287304
61,4,8.239864,4.638451
62,3,10.666419,1.9749517
65,3,11.715912,4.2567515
66,2,6.739767,2.1412988
67,4,11.322994,5.4287186
68,2,10.909846,5.0643816
69,3,10.754557,3.0211136
70,3,12.192352,3.688678
71,2,10.739807,0.8994309
72,4,9.966347,5.481381
73,2,9.500819,0.9747512
74,4,9.151333,3.882482
76,4,8.477241,4.791042
79,4,8.391343,2.4722846
82,4,11.465572,5.099921
83,2,11.517375,-0.18675718
86,3,12.426921,3.2495048
88,3,11.072966,4.1284018
90,4,9.615495,4.2052274
91,4,10.100383,5.1611166
94,3,9.088538,-1.7964543
95,4,8.497112,4.4077473
97,2,6.895934,2.2100806
98,4,8.931302,5.067959
100,3,10.636696,3.4247243
101,3,11.194598,3.9115808
102,3,10.73527,3.1055286
104,4,9.831078,3.2039645
106,3,11.583981,3.5309832
107,3,10.888964,3.110544
108,4,8.58307,4.8910975
109,4,10.762177,5.099007
112,3,10.79265,1.6410424
113,3,10.91768,2.3048103
114,4,8.467292,4.5573444
115,4,9.774587,5.0045204
116,4,9.890265,4.924087
117,3,13.138735,3.7032847
120,3,11.871548,4.6255336
121,3,10.857159,2.8541207
122,3,11.049282,2.2448597
123,3,12.567261,4.477074
124,1,9.828039,-1.3359982
125,4,9.124843,2.635129
127,3,11.22768,2.613356
128,3,12.053572,4.5972424
129,4,10.23737,2.9630144
130,4,6.378431,2.349901
132,4,8.9824,4.466318
133,1,10.274844,-2.3694305
134,4,10.611282,4.3411684
135,4,6.79569,2.2986393
136,4,8.5787115,4.0334496
137,3,12.036616,3.9080284
141,4,10.14008,4.1090374
143,4,10.153144,2.8054078
145,4,8.376526,4.8942146
146,4,6.802048,2.3877246
148,2,10.67693,0.57346773
150,3,11.476976,4.2497053
151,4,10.1874485,2.6129732
156,4,10.310629,2.6393013
157,4,8.485935,4.051402
159,3,12.8217125,3.934741
161,4,9.3887615,3.9596226
162,4,9.519655,4.918857
165,3,11.519407,2.5029876
166,3,12.600021,3.8198023
167,3,12.764282,3.51416
169,3,11.673875,4.299446
170,4,10.608362,3.7171147
172,4,8.774906,4.853923
174,3,12.762363,4.111479
176,4,10.301325,3.9676723
179,3,12.874391,3.717895
181,4,9.835424,5.3278413
184,4,9.992783,5.187326
185,4,9.770478,2.328179
187,3,11.207961,3.729511
188,4,9.178738,5.065287
190,3,10.979639,4.0225506
191,3,12.790616,3.5002463
193,4,9.914913,4.5700936
194,4,9.603222,4.6820354
197,4,8.755239,4.6514835
200,3,12.018328,2.7713003
204,4,10.284254,2.9674108
206,4,9.256933,3.6086674
207,3,11.596352,2.914079
208,2,7.4716363,-0.016762072
209,4,9.337074,4.8093734
214,3,11.164294,4.1950746
215,3,12.544176,4.1242833
217,2,6.7803507,1.9457896
218,3,10.985278,2.2446675
219,2,10.806223,2.4127254
220,3,12.564999,4.431193
221,4,10.918997,4.7964664
222,3,11.858657,4.9321866
225,2,10.784739,3.5462804
227,3,11.141437,3.3850114
228,4,10.855011,3.929579
230,4,8.969084,4.183664
231,3,11.329482,2.6235256
232,4,9.493316,4.368414
233,3,11.4671755,3.131571
235,3,11.6891575,2.896144
236,2,11.43576,2.2639663
237,3,11.415577,3.0344431
239,4,9.370373,3.5809238
240,4,9.711619,3.4174879
241,4,8.641969,4.879808
243,3,12.205005,3.5656452
244,3,9.742782,0.7951786
246,3,12.620767,4.310209
247,3,12.719126,4.002531
249,4,9.272843,4.4678907
251,3,10.8890505,3.5497096
252,4,8.316042,4.340162
254,4,10.233681,4.2458243
255,4,9.759952,4.2703347
258,4,9.663315,5.265911
260,4,8.881305,4.147342
261,4,9.488885,4.6741414
262,3,10.520808,3.410012
263,2,10.366076,3.0123398
264,3,10.283701,3.8712192
265,4,8.55382,4.2471294
266,4,6.7238307,2.2402623
267,4,11.235109,3.8217833
269,3,11.497664,3.7460222
270,3,11.225751,4.7210827
273,3,10.928624,3.4852889
274,3,12.0325,4.039737
275,3,11.968997,3.5809937
276,4,8.648724,3.7399094
278,3,10.855665,3.1240666
280,3,12.519911,4.534777
281,4,8.342676,4.5689116
282,4,9.920142,3.0222914
283,4,10.129117,4.02461
284,4,8.685877,4.6769004
286,4,8.683932,5.018906
289,4,8.358551,4.952064
290,4,8.373417,4.941227
294,3,11.147436,3.9010155
295,4,6.5113883,2.3943152
296,4,6.7829905,2.265931
298,3,10.550396,2.6159108
299,4,8.886557,4.6776958
301,3,12.023317,3.0161476
303,3,12.300128,3.0545537
306,1,5.6143417,0.078915
307,3,11.010164,3.02553
308,3,11.509325,2.8025975
309,3,11.1619215,3.7199917
312,2,9.173641,-0.802211
315,4,9.937431,4.060943
316,4,9.220021,3.660417
318,4,8.395198,4.5674076
320,4,9.325042,3.4812138
322,3,10.709583,3.207342
323,3,12.065006,2.931898
324,4,9.800953,3.4972246
326,4,9.986033,4.623979
327,3,9.924841,3.7722766
328,4,9.638676,3.6686516
330,4,10.378161,2.1436014
331,3,9.582874,0.18105231
332,4,9.524302,2.63644
333,3,11.465996,4.742374
335,4,10.103071,3.486696
338,3,10.926333,-0.3621069
339,3,11.877364,4.14641
340,3,12.1299,4.122256
341,4,9.695715,2.5979111
342,3,9.624479,0.60830516
343,4,9.171614,3.9835732
344,4,9.074149,5.152569
346,4,10.22193,3.3986106
347,3,11.944591,3.4256408
348,4,10.069871,4.9998264
353,3,12.085118,3.8164544
354,4,10.75577,4.0335402
356,4,8.731007,4.424845
357,3,12.154881,4.414764
360,3,10.795824,3.44989
361,2,9.727781,2.208598
362,3,12.329529,3.6823874
363,3,12.947032,3.7509706
365,3,12.964695,3.7454844
366,3,12.963032,3.745175
367,4,9.686064,5.26444
369,3,11.798333,1.2027353
370,3,6.7142854,0.037196558
371,3,12.19526,2.6429665
372,4,10.844222,4.14669
374,3,11.565563,2.503379
375,3,10.744068,3.1632895
377,4,10.017451,3.3725529
378,3,11.12562,3.6581922
379,4,10.699764,3.8781428
380,4,10.296081,3.485299
383,3,11.002791,2.1204505
384,3,11.832245,2.8182356
386,2,10.5378275,3.2441041
388,4,10.81175,3.8767269
390,4,9.14636,3.3705583
391,3,11.783788,3.8701575
392,3,11.978377,4.277185
393,4,9.323503,1.8895597
394,2,8.355085,0.8251853
395,4,9.536153,4.4876842
398,3,10.689933,2.8828728
399,4,9.4007845,3.6216052
402,4,9.851206,3.4927657
405,4,10.359653,3.1029584
410,3,10.363367,3.5986562
411,3,10.03856,0.023076598
412,4,9.56464,4.2213326
413,2,6.651168,2.136001
415,4,9.2475815,3.9509604
417,4,10.749416,4.8172364
420,3,11.237384,3.465487
421,3,11.79164,3.052277
425,3,12.183317,3.013267
426,4,9.245701,4.5149856
427,3,11.763056,1.9802934
428,4,9.463913,4.071806
432,3,10.26903,2.788933
433,2,7.5997224,-0.081759766
434,3,11.651068,2.3379593
436,3,11.415974,2.031591
437,4,8.647732,3.830402
438,4,9.935273,4.1858177
439,4,8.708955,4.778013
442,4,9.82114,5.652539
445,4,9.831986,5.642291
448,4,9.857736,5.644493
449,4,9.838998,5.654885
450,4,9.845547,5.6300898
451,3,11.4656725,3.507106
454,4,10.242466,5.3350086
455,4,10.492155,4.9585633
461,3,10.907752,2.4956305
462,3,11.403517,4.1591315
463,4,9.327503,4.499399
464,4,10.180271,5.193411
465,3,12.016956,4.180618
466,4,10.181262,4.6448054
467,4,9.6745,5.0027604
468,4,10.339992,5.2905903
469,4,8.4602785,5.007105
470,3,11.897494,4.4338784
472,4,9.419833,3.8764722
475,4,9.023783,4.4757113
477,4,9.75652,4.348245
478,4,9.342832,4.981262
479,4,9.632825,3.6323814
489,4,8.624164,4.6875057
491,4,8.532865,4.0247126
492,4,9.60934,3.6414087
493,4,8.551778,4.0092874
494,3,12.472976,3.5419993
495,4,9.770338,5.1861196
496,4,10.34723,4.0759864
499,3,12.967402,4.0165997
501,4,9.264954,5.2567425
502,3,11.12774,3.189835
503,4,10.600906,5.134195
504,4,10.636493,4.8495646
505,4,10.617148,4.409842
506,3,11.610181,0.77488035
507,2,11.224897,-1.4473685
511,4,9.424355,3.6983705
512,3,10.738062,1.6897572
514,4,9.133524,3.9070952
517,4,10.580453,4.7694206
518,4,8.294898,1.6097337
519,4,10.387782,3.5259984
520,4,9.670017,4.541931
521,3,11.848805,3.8200967
524,3,12.529014,4.033
527,3,9.900782,3.740651
529,3,10.262876,3.6988218
530,3,7.8652477,0.120837204
531,4,8.166995,4.600309
534,4,9.156781,4.252738
535,4,9.026468,4.0909348
536,4,9.261418,3.8658757
537,4,9.188343,5.2804203
538,3,10.324016,2.5859036
539,4,8.852588,4.451518
542,4,8.849365,4.8564706
543,4,8.656544,5.039135
544,4,8.567422,4.1343036
545,4,9.383371,4.0339184
546,3,11.489435,3.6008205
547,4,10.159045,3.4621694
548,3,11.28104,5.042969
549,3,10.067204,3.4375124
551,3,9.433912,3.189215
552,4,10.32241,4.7743225
553,4,10.169243,5.1842637
555,4,10.389248,4.8383512
556,4,9.347717,3.0726454
557,4,9.307535,5.009778
559,4,8.48069,4.3190007
560,4,9.069566,3.0170102
561,4,9.295556,4.381432
562,4,10.553825,5.4053793
563,4,10.292408,3.849496
564,4,9.557957,4.535535
565,4,10.1797,2.9503498
567,2,8.063742,0.049742963
570,2,8.059757,0.05084258
571,2,8.092831,0.05219137
576,4,10.749164,4.6920905
579,4,8.672101,4.433933
582,4,9.740527,3.167532
583,4,9.503868,4.9932103
585,4,6.9591084,2.4843178
586,3,12.03195,3.7926848
587,3,12.3397255,3.420761
589,3,11.223464,3.3263485
590,3,10.27876,0.4860307
591,3,11.624555,4.629088
592,3,12.737055,3.9804194
593,3,12.021436,4.1366544
595,4,10.593658,5.0125957
596,4,8.910625,4.964184
597,4,10.052155,4.580775
598,3,12.719205,3.5476408
599,4,9.64615,3.888512
600,4,10.299793,3.228003
601,2,7.5915184,0.43392032
602,2,8.802022,1.2787509
604,4,8.495816,4.502243
605,4,9.116548,4.018411
607,3,11.4681635,3.8638694
610,4,10.473114,3.469512
613,4,9.708111,4.3606505
614,3,10.837476,3.1723943
615,4,10.091451,4.538754
617,4,10.094933,4.3556447
618,4,10.058198,4.3542275
620,4,8.3201275,3.9734185
621,4,9.558414,3.9756064
622,4,9.152548,4.759481
623,4,10.951048,5.0080085
624,3,11.614778,3.5604813
627,4,8.442002,4.022909
629,2,8.370691,2.4571972
631,4,10.831238,4.109881
632,4,9.43206,5.2436037
635,3,12.217538,4.4100685
636,3,12.57789,4.4385076
638,4,8.904062,2.1615667
640,3,11.539214,0.5391166
641,4,10.462658,4.4375725
642,4,9.3651905,2.0017626
643,2,10.274108,3.4632587
644,4,10.237009,3.5289433
645,4,9.612641,3.9964297
646,3,11.377245,4.586691
647,3,10.019229,0.48821077
648,3,10.993259,2.583898
649,4,8.801511,3.9948757
650,4,9.145434,1.867902
653,3,12.718935,4.4006653
655,3,11.69152,4.6973352
657,4,10.570523,5.3401904
658,4,9.921555,4.647957
659,4,10.545206,3.3749597
660,4,9.558235,2.2600155
662,4,8.566398,4.2274146
663,4,9.188674,4.3029385
665,4,8.619037,3.8340812
666,2,6.681941,2.0879333
667,3,12.062674,2.9915526
668,3,12.073113,3.0145726
671,3,10.198756,0.9504775
674,4,9.08354,4.789726
676,4,8.367622,4.9303055
677,4,9.312393,4.7254734
679,3,12.368801,3.525824
681,4,9.568691,4.208436
682,3,11.642033,4.474395
686,4,11.338206,5.112156
687,3,12.576146,4.4090705
688,3,10.978678,2.8556297
689,2,8.569873,-0.6321638
690,4,7.2603626,2.3628788
693,3,10.654135,2.7697334
694,3,11.799654,4.0642886
695,3,11.714258,3.3524225
697,3,11.641901,4.408178
698,4,10.73691,4.2473493
699,3,11.002803,4.2725773
700,3,11.216905,3.883975
701,4,9.986449,5.166457
702,4,9.917544,3.4497614
703,4,9.945769,5.016491
704,3,11.063173,4.2706337
706,3,12.311235,3.0164676
707,1,7.0523796,-0.3551827
708,3,11.355236,0.3999262
709,3,11.411698,3.4989111
711,2,11.0654745,2.1117015
715,3,11.684711,4.170402
718,4,9.91165,5.5194707
721,4,11.743065,4.949106
722,4,9.646785,5.576365
723,2,9.007538,2.644321
724,4,10.732186,3.9256833
726,4,8.880701,2.8870761
727,3,11.709953,4.4359164
728,3,11.808362,3.320077
729,3,10.92213,3.5298672
730,4,9.699213,4.116559
731,4,9.737427,3.561858
732,4,9.174813,3.4614398
735,4,10.966336,4.7757945
736,3,11.925301,3.6066341
740,4,9.606902,4.1383643
744,4,9.477422,4.96431
745,4,8.395245,3.804632
746,4,9.740639,5.0341735
747,4,10.5022545,3.787345
749,4,9.048818,4.364693
750,4,9.942076,3.4981725
751,3,11.057904,2.3234565
752,4,8.838606,4.521314
753,3,11.429219,3.3534825
755,3,12.385849,2.8349595
756,3,12.446807,3.4676712
757,1,6.337602,-0.9001038
758,2,11.050138,2.160509
760,4,10.453398,5.181876
762,3,9.906342,3.7365797
763,2,6.66753,2.05701
764,4,8.666397,4.8356895
