row_index,cluster,x,y
0,3,49.68856,8.574447
3,3,33.981876,28.201698
5,0,68.18831,-9.5103035
6,3,47.211906,22.74007
7,3,41.384537,23.468105
8,3,13.315085,-2.7984188
9,3,41.880707,24.784817
10,3,28.371252,31.983498
11,3,33.950436,45.13027
14,0,8.2104845,15.850563
16,3,30.247763,-0.7699253
17,3,-1.9855423,22.605556
22,3,21.571415,3.5938334
23,0,63.038082,-9.688168
24,3,38.82563,1.6319572
28,3,6.4092064,52.020473
32,3,41.909904,9.136038
34,3,54.75217,-10.869592
35,3,30.171871,43.37885
37,3,58.5637,30.296246
39,3,58.5637,30.296246
40,3,58.56342,30.295662
41,3,20.390858,16.897654
42,3,60.346813,10.509036
43,3,40.623848,-5.205471
45,3,12.948705,55.29606
46,3,21.092716,67.37404
49,3,49.029705,15.190554
53,3,22.883038,23.934357
55,3,33.822845,0.0260767
56,3,37.768154,37.959743
57,3,21.151178,-16.884256
60,3,62.230206,10.026216
61,3,3.2483392,-26.322535
62,3,3.0202806,35.84463
65,3,7.51866,30.195349
66,0,70.61565,-12.658192
67,3,6.9235015,30.44856
68,3,35.54677,47.41479
69,3,22.37518,-1.0208254
70,3,21.847828,20.844448
71,3,5.1362934,31.59145
72,3,26.306227,33.553265
73,3,27.885502,17.238981
74,1,32.553013,-36.720573
76,3,52.334324,-0.07216339
79,3,13.281311,19.323572
82,3,43.626278,19.911304
83,0,-19.666859,-10.633171
86,3,11.76817,45.613045
88,3,34.125145,-3.0155137
90,3,46.236343,14.758064
91,3,47.98593,3.1712587
94,3,-10.266571,39.46258
95,3,38.867565,1.6546687
97,0,67.31,-13.614778
98,3,8.103517,50.53033
100,3,11.574057,-3.3486478
101,3,42.74348,-8.177129
102,3,23.230227,-4.4939203
104,0,63.40553,-10.425033
106,3,22.723818,35.633026
107,3,28.624401,0.22156492
108,3,52.311005,0.057925582
109,3,19.576994,33.733276
112,3,20.699759,-34.600372
113,3,29.773417,-5.647406
114,0,2.6778686,-12.663676
115,3,18.264482,56.300117
116,3,22.69686,3.2637427
117,3,27.413212,40.92297
120,3,14.198818,20.849024
121,3,24.587593,10.088597
122,3,33.785397,4.0434513
123,3,32.298344,35.883354
124,2,-10.915128,18.230118
125,3,27.2228,11.385953
127,3,7.2359157,2.348377
128,0,13.454127,22.095558
129,3,22.329718,-13.347402
130,3,67.991844,-5.4712825
132,3,33.477722,33.43014
133,0,6.075896,8.32415
134,3,23.490921,-3.5565066
135,0,70.20228,-6.934598
136,3,18.78971,-1.2952137
137,3,6.6607337,29.535957
141,3,58.12581,13.768092
143,3,43.594402,12.378418
145,3,62.866325,18.543337
146,0,72.94243,-12.888912
148,3,16.607239,1.2381063
150,3,24.023125,-14.280626
151,3,15.799575,2.6167588
156,3,22.93349,11.062108
157,3,43.081352,34.6194
159,3,40.83376,37.78008
161,3,33.272797,6.8055487
162,3,33.19689,6.886107
165,0,-33.81539,4.8121204
166,3,0.10554442,23.384476
167,3,7.0350847,15.872914
169,3,25.421124,-3.8397386
170,3,7.2017484,4.4020867
172,3,17.228271,67.51882
174,3,31.36338,36.617546
176,3,34.411705,0.42118174
179,3,6.4240522,11.665988
181,3,7.228538,14.007722
184,3,16.94845,47.65264
185,3,23.176525,-14.334927
187,3,20.329124,69.43566
188,3,57.320423,8.076193
190,3,35.54008,32.70986
191,3,25.960491,41.080223
193,3,53.06934,30.984228
194,3,53.014236,30.976591
197,3,52.070335,12.332494
200,3,21.157024,14.304802
204,3,17.59502,-2.9702384
206,3,39.835487,3.2979996
207,0,11.135696,5.978026
208,3,20.880875,15.627899
209,3,15.413095,55.70456
214,3,4.6176634,35.641895
215,3,5.906953,32.965828
217,0,70.49677,-13.886699
218,3,2.4496756,34.980316
219,3,9.318342,7.877433
220,0,11.936765,-8.086468
221,3,-2.6771154,8.422983
222,3,20.038624,-3.7025144
225,0,6.005523,6.098443
227,3,31.743893,18.230118
228,3,12.498253,49.173363
230,3,38.328278,13.27467
231,3,14.626882,19.688715
232,3,34.1755,17.019464
233,3,26.17621,-2.130924
235,3,17.846552,1.995336
236,3,24.991457,27.777536
237,3,-7.3610845,4.1162276
239,3,2.1816106,49.184563
240,3,1.027785,49.41104
241,3,6.742664,51.81654
243,3,5.373549,35.998066
244,3,1.2571944,48.372334
246,3,6.80388,52.2572
247,3,23.620678,38.346897
249,3,32.304653,3.771597
251,3,42.722733,-11.091801
252,3,49.528324,17.903557
254,3,23.61973,14.066978
255,3,51.164745,9.828969
258,3,57.883305,19.771574
260,3,37.44772,4.6533475
261,3,16.98578,59.22335
262,3,38.24719,0.23683967
263,3,18.555788,22.672958
264,3,16.746761,54.69734
265,3,48.874737,3.1776445
266,0,69.79137,-8.346615
267,3,47.324867,18.336271
269,3,9.339645,47.659206
270,3,10.547066,25.07136
273,3,23.63163,4.400221
274,3,28.217579,35.20738
275,3,23.310678,12.762337
276,3,23.114458,-2.9752016
278,3,8.74084,9.085599
280,3,26.081718,37.510715
281,3,46.922504,4.420635
282,3,23.578274,-14.000493
283,3,-4.681999,7.5110526
284,3,26.502893,2.3734343
286,3,28.987175,9.17782
289,3,46.3092,-5.0837097
290,3,46.306465,-5.0879025
294,3,33.97892,35.240185
295,3,67.91277,-5.390551
296,0,70.944595,-7.4581523
298,3,23.821985,19.378675
299,3,43.6438,13.839925
301,3,21.81937,7.1917963
303,0,6.4782953,4.6991777
306,3,20.801764,19.78831
307,3,18.630634,2.1725585
308,3,19.198994,2.5736115
309,3,21.754435,11.58181
312,3,11.6776495,12.765685
315,3,27.874727,33.890255
316,3,11.576693,43.5224
318,3,46.31899,17.593409
320,3,21.804564,68.16413
322,3,29.718536,0.97626394
323,3,0.2695583,44.500484
324,3,34.370872,-18.51467
326,3,35.707424,-13.250042
327,3,11.923465,53.521347
328,3,1.4850557,50.209625
330,3,38.478455,-14.724906
331,3,0.6525906,49.49233
332,3,-35.447193,-1.8117632
333,3,8.360834,47.510235
335,3,40.185116,13.791646
338,3,0.13707198,25.269924
339,3,26.308983,27.82058
340,3,22.863434,38.197315
341,3,42.904793,11.714544
342,3,0.07526143,50.46036
343,3,6.5020013,51.565598
344,3,22.164606,2.160031
346,3,24.435272,23.984564
347,3,17.52496,8.398315
348,3,37.41461,34.554962
353,3,21.129477,24.321293
354,0,14.5162525,-2.9287043
356,0,10.850894,0.15016195
357,3,50.535492,30.504744
360,0,12.540441,1.5071796
361,0,22.16024,-13.277735
362,3,29.0322,34.899036
363,3,14.681282,32.941563
365,3,14.6622925,32.878773
366,3,14.662285,32.878918
367,3,55.811787,11.852664
369,3,20.896172,12.0473995
370,3,10.020475,-10.933764
371,0,12.032227,1.5656177
372,3,54.308914,29.42571
374,0,12.155407,1.6568398
375,3,23.68148,17.795393
377,3,30.154022,6.0243363
378,3,39.081066,7.421372
379,3,23.00368,9.862908
380,3,22.577137,-1.1194917
383,3,37.28062,15.249403
384,0,7.3521013,-2.3131034
386,3,35.159668,48.072903
388,3,41.570812,22.379648
390,3,43.13058,-2.636181
391,0,11.242109,0.92515194
392,3,38.25631,45.743645
393,3,27.588024,2.6865563
394,0,64.59854,-8.281895
395,3,41.29949,2.8124533
398,0,8.062627,0.62087035
399,1,33.54032,-26.514856
402,3,30.295782,5.298266
405,3,12.645109,49.121574
410,3,45.087162,35.09666
411,3,19.771324,9.03874
412,3,17.949684,-6.343192
413,0,72.65763,-12.370748
415,3,34.955463,-4.5373325
417,3,43.190113,37.574116
420,3,32.17626,19.077335
421,3,15.546535,2.0754085
425,3,12.603488,8.468809
426,3,41.941383,13.169528
427,3,12.445744,20.00424
428,3,52.733597,37.769466
432,3,27.02631,16.51437
433,0,35.76826,-13.618616
434,3,2.425477,3.38524
436,3,16.254522,5.687514
437,3,15.100475,28.188755
438,3,54.508537,26.754683
439,3,51.92284,8.571081
442,3,44.80296,49.57983
445,3,44.80296,49.57983
448,3,44.80296,49.57983
449,3,44.80296,49.57983
450,3,44.80296,49.57983
451,3,12.11156,7.578067
454,3,59.519768,-8.018674
455,3,10.903183,28.051498
461,3,31.45673,15.935091
462,3,19.667944,26.633762
463,3,49.506195,27.569515
464,3,43.51227,18.15587
465,3,-0.7043865,24.616688
466,3,11.909107,4.3389115
467,3,43.19152,22.932718
468,3,24.977514,22.671375
469,3,37.912716,5.0938315
470,0,3.7552702,8.7907715
472,3,-4.460782,12.711868
475,3,20.923103,-1.2671889
477,3,23.843939,1.350964
478,3,32.012085,14.688553
479,3,2.0979974,49.1371
489,3,51.89507,1.5530702
491,3,56.29517,10.069516
492,3,57.148907,0.092354305
493,3,56.29396,10.069529
494,3,7.7228703,16.609549
495,3,40.423286,13.617473
496,3,42.577408,-9.548424
499,3,7.1268764,15.844404
501,3,48.871254,12.406283
502,3,35.36157,-2.989088
503,3,54.804188,31.541805
504,3,23.113306,-8.770822
505,3,8.536513,-3.7414017
506,3,3.9276357,5.3023186
507,3,-0.36927977,21.624044
511,3,9.368137,53.166454
512,3,0.09927529,48.74224
514,3,1.8540106,47.91508
517,3,36.986275,9.248651
518,0,11.579696,-2.426929
519,3,41.1504,8.413864
520,3,35.0046,6.8515735
521,3,38.13093,8.086274
524,3,5.1353273,30.98531
527,3,18.083504,58.349754
529,3,31.32098,-13.684723
530,0,9.266423,-11.992256
531,3,51.338108,-2.8822138
534,3,60.55942,10.808536
535,3,62.078247,10.190062
536,3,61.696465,10.460578
537,3,35.483086,49.12938
538,3,25.242516,9.038086
539,3,14.218219,12.428405
542,3,34.693398,15.742722
543,3,50.88114,6.4056454
544,3,64.20595,-13.266366
545,3,49.589138,-4.2029305
546,3,20.358898,41.445618
547,3,31.213873,-5.87583
548,3,11.344684,45.666286
549,3,43.71786,-10.098503
551,3,0.9609188,50.900066
552,3,8.186657,36.721775
553,3,32.51549,31.826399
555,3,40.88528,41.044617
556,3,38.612423,-14.201646
557,3,17.232788,52.261036
559,3,32.5765,15.040794
560,3,0.12541544,22.462994
561,3,28.634714,-11.508314
562,3,21.43746,-0.0031233598
563,3,20.037146,15.402323
564,3,42.927994,36.826157
565,3,16.412922,-2.1854668
567,0,-4.150293,0.36005706
570,0,-4.150293,0.36005706
571,0,-4.150293,0.36005706
576,3,47.545433,21.204552
579,3,15.989194,67.05916
582,3,11.698516,47.514465
583,3,33.98753,24.731573
585,0,66.13547,-9.984714
586,3,16.46267,7.6477895
587,3,6.923242,29.29415
589,3,23.368513,5.690447
590,3,19.246883,8.549421
591,3,15.068363,24.064966
592,3,14.962074,23.97665
593,3,26.434507,33.68731
595,3,12.654469,30.828535
596,3,57.96494,7.017421
597,3,58.070904,6.8611603
598,3,21.70737,38.121326
599,3,13.6244335,56.35062
600,3,52.800323,15.668584
601,0,22.906641,9.451795
602,3,22.761965,15.581258
604,3,64.25333,-13.180697
605,3,16.159904,58.843845
607,3,22.096725,39.40267
610,0,20.067125,-5.855093
613,3,30.339558,4.935036
614,3,24.576565,2.7064836
615,3,26.580742,-16.609064
617,3,17.151447,17.477562
618,3,17.151447,17.477562
620,0,64.08244,-7.315342
621,3,26.464378,14.440218
622,3,38.941116,6.064874
623,3,3.7525504,30.078575
624,3,20.81744,11.786715
627,3,57.02421,13.182298
629,0,13.567792,5.705981
631,3,47.004646,30.430782
632,3,51.876698,14.644323
635,3,43.50909,35.241825
636,3,18.123318,36.490982
638,3,46.435635,6.030729
640,3,17.946795,-6.5229073
641,3,43.053585,31.118896
642,3,11.510651,25.892136
643,3,58.1037,-4.740586
644,3,57.947052,-4.71102
645,3,57.890476,-4.781592
646,3,52.46747,32.035896
647,3,22.68362,1.0667572
648,0,19.447252,0.8613147
649,3,22.957584,12.427033
650,3,38.94779,10.0085535
653,0,4.960384,-0.98149455
655,3,6.2670746,33.941395
657,3,52.507095,13.148612
658,3,26.060223,5.695113
659,3,37.89546,13.118213
660,3,29.430328,23.77691
662,3,50.809193,-4.5246263
663,3,26.19627,15.329638
665,3,15.528612,52.32242
666,0,71.829666,-11.842552
667,3,31.65545,45.718353
668,3,31.65545,45.718353
671,3,0.97948766,50.363262
674,3,59.58481,8.549583
676,3,53.70143,9.326996
677,3,13.922043,57.016865
679,3,7.2064037,-5.5547857
681,3,16.022991,56.684734
682,3,39.186684,41.230446
686,3,31.421015,12.85514
687,3,6.807846,15.759633
688,3,19.924433,14.739799
689,3,12.456147,49.077435
690,0,8.928026,0.13480839
693,3,36.286137,14.095503
694,3,11.029324,46.50721
695,3,19.596083,35.16519
697,3,30.691387,25.570766
698,3,13.386294,30.222261
699,3,10.413992,19.69424
700,3,22.03754,13.72525
701,3,29.621775,10.157667
702,3,22.091839,13.608771
703,3,-4.152328,12.470574
