row_index,cluster,x,y
0,3,11.01005,6.58047
3,3,9.228702,8.490818
5,0,12.139832,10.935304
6,3,10.230363,6.963719
7,3,10.072538,7.333693
8,3,10.473724,6.841118
9,3,10.019325,7.3294983
10,3,8.881647,8.789679
11,3,9.136948,8.404639
14,0,9.527676,8.902859
16,3,11.072592,7.776411
17,3,9.020845,7.4128337
22,3,10.768624,8.782982
23,0,12.148568,10.8316555
24,3,11.292459,7.6906905
28,3,13.016713,9.701041
32,3,10.852833,7.4615536
34,3,10.819717,7.208074
35,3,8.575976,8.710667
37,3,10.413873,9.836952
39,3,10.38691,9.853279
40,3,10.3778715,9.865518
41,3,12.568836,8.915886
42,3,11.34332,7.3278046
43,3,10.275635,9.164419
45,3,12.775928,8.88398
46,3,12.986876,7.835635
49,3,10.709919,6.8385477
53,3,9.929685,8.773329
55,3,11.391926,8.298147
56,3,8.396158,8.276612
57,3,10.606284,8.575343
60,3,11.560082,7.9432707
61,3,11.273014,6.0573287
62,3,7.494634,7.542047
65,3,8.344879,8.057897
66,0,12.248727,10.941035
67,3,7.6621923,7.7804384
68,3,9.293869,8.321665
69,3,10.863137,9.032605
70,3,9.277595,7.997849
71,3,7.4300995,7.6565976
72,3,8.800246,9.052185
73,3,10.207275,8.031823
74,1,14.964739,1.0013547
76,3,11.674042,6.9861207
79,3,8.883857,8.196658
82,3,9.633052,7.0499983
83,0,5.373736,1.9511372
86,3,12.693658,9.154677
88,3,9.9789715,8.233955
90,3,10.582208,7.0980883
91,3,10.9359665,7.335028
94,3,10.2837,8.090984
95,3,11.302405,7.632995
97,0,12.020813,10.666775
98,3,13.037331,9.492131
100,3,11.191163,7.490817
101,3,10.094601,9.463832
102,3,11.149948,9.509419
104,0,12.12973,10.734204
106,3,8.747797,9.444913
107,3,11.092151,8.4444275
108,3,11.604024,6.9919095
109,3,8.927669,9.272318
112,3,14.437343,0.62104195
113,3,10.02991,8.768974
114,0,10.389942,6.164217
115,3,12.663151,8.869625
116,3,11.197858,8.83242
117,3,8.052201,9.025459
120,3,8.463032,8.0142
121,3,10.040095,8.988332
122,3,11.527302,8.226098
123,3,8.182291,8.494745
124,2,9.26572,6.914826
125,3,10.916782,8.177104
127,3,11.681215,8.023589
128,0,8.04209,8.415083
129,3,10.693738,9.236895
130,3,12.242524,10.5792675
132,3,8.752983,7.9220724
133,0,9.70857,9.329192
134,3,10.658082,9.181071
135,0,12.471728,11.211006
136,3,11.182459,7.181954
137,3,7.7853255,7.5961127
141,3,10.866845,7.2533526
143,3,10.821044,8.367808
145,3,11.35458,6.047905
146,0,12.324181,10.91938
148,3,9.94993,7.5081835
150,3,10.741661,9.357834
151,3,11.506786,7.9828115
156,3,10.504027,8.684051
157,3,9.00268,8.897656
159,3,8.352429,8.505529
161,3,11.557365,7.855299
162,3,11.553789,7.8459992
165,0,11.138294,9.764214
166,3,8.874144,7.1462426
167,3,8.265394,7.724302
169,3,11.30797,9.343084
170,3,8.807121,9.553171
172,3,12.823609,7.926582
174,3,8.167574,8.555605
176,3,10.117433,8.007075
179,3,8.778376,8.978776
181,3,9.314354,8.772659
184,3,12.797137,9.233448
185,3,10.77362,9.336728
187,3,12.85215,7.84559
188,3,11.141704,7.3510575
190,3,8.714445,9.038769
191,3,8.417113,9.194006
193,3,10.084408,9.9115095
194,3,10.056582,9.851719
197,3,10.965872,6.9874544
200,3,9.888155,8.305339
204,3,10.787094,6.8639402
206,3,11.739931,8.077776
207,0,9.910375,8.863766
208,3,9.820384,7.906503
209,3,12.814524,8.706653
214,3,7.4474783,7.6256013
215,3,7.4293375,7.7047577
217,0,12.174377,10.893334
218,3,7.522921,7.5133
219,3,11.235243,8.608406
220,0,10.088701,9.21587
221,3,11.024022,9.808659
222,3,10.725539,8.201051
225,0,-2.4384193,5.121152
227,3,8.967175,8.548404
228,3,12.497066,9.084033
230,3,10.565095,7.7363605
231,3,8.771107,8.038105
232,3,10.485794,7.8330727
